id,preferred_name,protein_size,annotation
9685.ENSFCAP00000000001,INTS6L,902,Uncharacterized protein.
9685.ENSFCAP00000000017,LOC101100591,318,Olfactory receptor.
9685.ENSFCAP00000000020,GPR39,453,G protein-coupled receptor 39; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000000021,LYPD1,141,LY6/PLAUR domain containing 1.
9685.ENSFCAP00000000024,RCN3,328,Reticulocalbin 3.
9685.ENSFCAP00000000026,APOO,198,MICOS complex subunit; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane.
9685.ENSFCAP00000000027,CXHXorf58,376,Chromosome X CXorf58 homolog.
9685.ENSFCAP00000000028,CB1H4orf19,319,Chromosome B1 C4orf19 homolog.
9685.ENSFCAP00000000029,RELL1,271,RELT like 1.
9685.ENSFCAP00000000031,DRC1,723,Dynein regulatory complex subunit 1.
9685.ENSFCAP00000000033,CA3H2orf70,201,Chromosome A3 C2orf70 homolog.
9685.ENSFCAP00000000041,LRP6,1613,Low-density lipoprotein receptor-related protein; Component of the Wnt-Fzd-LRP5-LRP6 complex that triggers beta-catenin signaling through inducing aggregation of receptor-ligand complexes into ribosome-sized signalsomes. Belongs to the LDLR family.
9685.ENSFCAP00000000046,EXOSC10,887,Exosome component 10.
9685.ENSFCAP00000000048,MTOR,2590,Serine/threonine-protein kinase mTOR; Belongs to the PI3/PI4-kinase family.
9685.ENSFCAP00000000049,ANGPTL7,344,Angiopoietin like 7.
9685.ENSFCAP00000000056,MAD2L2,211,Mitotic arrest deficient 2 like 2.
9685.ENSFCAP00000000057,DRAXIN,377,Draxin; Chemorepulsive axon guidance protein required for the development of spinal cord and forebrain commissures. Acts as a chemorepulsive guidance protein for commissural axons during development. Able to inhibit or repel neurite outgrowth from dorsal spinal cord. Inhibits the stabilization of cytosolic beta-catenin (CTNNB1) via its interaction with LRP6, thereby acting as an antagonist of Wnt signaling pathway.
9685.ENSFCAP00000000059,ISL2,359,ISL LIM homeobox 2.
9685.ENSFCAP00000000062,CLCN6,1135,Chloride voltage-gated channel 6; Belongs to the chloride channel (TC 2.A.49) family.
9685.ENSFCAP00000000065,SEC24B,1259,SEC24 homolog B, COPII coat complex component.
9685.ENSFCAP00000000067,PLOD1,727,Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1.
9685.ENSFCAP00000000068,ENPEP,952,Aminopeptidase.
9685.ENSFCAP00000000070,MIIP,460,Migration and invasion inhibitory protein.
9685.ENSFCAP00000000072,ADCY6,1208,Adenylate cyclase type 6; Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling.
9685.ENSFCAP00000000074,EFCAB12,573,EF-hand calcium binding domain 12.
9685.ENSFCAP00000000076,RND1,232,Rho family GTPase 1.
9685.ENSFCAP00000000077,MBD4,571,Methyl-CpG-binding domain protein 4; Mismatch-specific DNA N-glycosylase involved in DNA repair. Has thymine glycosylase activity and is specific for G:T mismatches within methylated and unmethylated CpG sites. Can also remove uracil or 5-fluorouracil in G:U mismatches. Has no lyase activity. Was first identified as methyl-CpG-binding protein.
9685.ENSFCAP00000000081,WNT1,370,Protein Wnt; Ligand for members of the frizzled family of seven transmembrane receptors; Belongs to the Wnt family.
9685.ENSFCAP00000000082,DDN,762,Dendrin.
9685.ENSFCAP00000000085,RHO,348,Rhodopsin; Photoreceptor required for image-forming vision at low light intensity. Required for photoreceptor cell viability after birth (By similarity). Light-induced isomerization of 11-cis to all-trans retinal triggers a conformational change that activates signaling via G- proteins. Subsequent receptor phosphorylation mediates displacement of the bound G-protein alpha subunit by the arrestin SAG and terminates signaling (By similarity).
9685.ENSFCAP00000000088,RHEBL1,183,RHEB like 1.
9685.ENSFCAP00000000090,PLXND1,1927,Plexin D1.
9685.ENSFCAP00000000091,LMBR1L,489,Limb development membrane protein 1 like; Belongs to the LIMR family.
9685.ENSFCAP00000000099,C9orf135,231,Chromosome 9 open reading frame 135.
9685.ENSFCAP00000000108,MMP13,470,Matrix metallopeptidase 13.
9685.ENSFCAP00000000115,LYPD2,128,LY6/PLAUR domain containing 2.
9685.ENSFCAP00000000129,FGF6,208,Fibroblast growth factor; Belongs to the heparin-binding growth factors family.
9685.ENSFCAP00000000130,CB4H12orf4,577,Chromosome B4 C12orf4 homolog.
9685.ENSFCAP00000000133,ITFG2,444,Integrin alpha FG-GAP repeat containing 2.
9685.ENSFCAP00000000134,TEX52,305,Testis expressed 52.
9685.ENSFCAP00000000136,TULP3,462,Tubby-like protein; Belongs to the TUB family.
9685.ENSFCAP00000000138,CC1H1orf146,180,Chromosome C1 C1orf146 homolog.
9685.ENSFCAP00000000140,OCA2,845,OCA2 melanosomal transmembrane protein.
9685.ENSFCAP00000000141,HERC2,4831,HECT and RLD domain containing E3 ubiquitin protein ligase 2.
9685.ENSFCAP00000000144,KLK14,251,Kallikrein related peptidase 14; Belongs to the peptidase S1 family.
9685.ENSFCAP00000000151,ORM2,239,Lipocln_cytosolic_FA-bd_dom domain-containing protein.
9685.ENSFCAP00000000153,AKNA,1405,AT-hook transcription factor.
9685.ENSFCAP00000000159,TNFSF15,255,TNF superfamily member 15.
9685.ENSFCAP00000000162,C1R,293,Peptidase S1 domain-containing protein; Belongs to the peptidase S1 family.
9685.ENSFCAP00000000163,BACE1,501,Beta-secretase 1; Belongs to the peptidase A1 family.
9685.ENSFCAP00000000164,C1RL,278,Peptidase S1 domain-containing protein; Belongs to the peptidase S1 family.
9685.ENSFCAP00000000168,CLSTN3,956,Calsyntenin 3.
9685.ENSFCAP00000000169,PEX5,640,Peroxisomal biogenesis factor 5.
9685.ENSFCAP00000000175,STAC3,364,SH3 and cysteine rich domain 3.
9685.ENSFCAP00000000177,R3HDM2,1043,Uncharacterized protein.
9685.ENSFCAP00000000181,ATP5F1C,298,ATP synthase subunit gamma.
9685.ENSFCAP00000000182,TAF3,931,TATA-box binding protein associated factor 3.
9685.ENSFCAP00000000187,DEGS1,336,Delta 4-desaturase, sphingolipid 1.
9685.ENSFCAP00000000188,MMACHC,282,Metabolism of cobalamin associated C.
9685.ENSFCAP00000000192,FLVCR1,560,Feline leukemia virus subgroup C receptor-related protein 1; Heme transporter that exports cytoplasmic heme. It can also export coproporphyrin and protoporphyrin IX, which are both intermediate products in the heme biosynthetic pathway. Does not export bilirubin. Heme export depends on the presence of HPX and is required to maintain intracellular free heme balance, protecting cells from heme toxicity. Heme export provides protection from heme or ferrous iron toxicities in liver, brain, sensory neurons and during erythtopoiesis, a process in which heme synthesis intensifies (By similari [...] 
9685.ENSFCAP00000000194,SERGEF,456,Secretion regulating guanine nucleotide exchange factor.
9685.ENSFCAP00000000195,SAAL1,475,Serum amyloid A like 1.
9685.ENSFCAP00000000197,ITPRID1,1089,ITPR interacting domain containing 1.
9685.ENSFCAP00000000200,SOCS5,536,Suppressor of cytokine signaling 5.
9685.ENSFCAP00000000207,CMYA5,4108,Cardiomyopathy associated 5.
9685.ENSFCAP00000000208,CRYAA,173,Alpha-crystallin A chain; Contributes to the transparency and refractive index of the lens. Has chaperone-like activity, preventing aggregation of various proteins under a wide range of stress conditions. Required for the correct formation of lens intermediate filaments as part of a complex composed of BFSP1, BFSP2 and CRYAA.
9685.ENSFCAP00000000209,SIK1,780,Uncharacterized protein.
9685.ENSFCAP00000000217,SCN11A,1784,Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.
9685.ENSFCAP00000000222,HNF1B,558,HNF1 homeobox B.
9685.ENSFCAP00000000223,ZSCAN23,421,Zinc finger and SCAN domain containing 23.
9685.ENSFCAP00000000226,EYA1,621,Eyes absent homolog; Belongs to the HAD-like hydrolase superfamily. EYA family.
9685.ENSFCAP00000000228,LIG3,1009,DNA ligase.
9685.ENSFCAP00000000232,NLE1,485,Notchless homolog 1.
9685.ENSFCAP00000000233,UNC45B,929,Unc-45 myosin chaperone B.
9685.ENSFCAP00000000234,SLFN5,888,Schlafen family member 5.
9685.ENSFCAP00000000237,BAX,192,BCL2 associated X, apoptosis regulator.
9685.ENSFCAP00000000238,NTF4,210,Neurotrophin 4; Belongs to the NGF-beta family.
9685.ENSFCAP00000000242,ANKRD33,272,Ankyrin repeat domain 33.
9685.ENSFCAP00000000245,GRASP,547,General receptor for phosphoinositides 1 associated scaffold protein.
